YAL001C YBR123C
YAL003W YKL081W
YAL007C YAR002C-A
YAL007C YDR127W
YAL007C YEL002C
YAL007C YGL200C
YAL007C YHR026W
YAL007C YHR110W
YAL007C YLR342W
YAL007C YML012W
YAL007C YNL130C
YAL012W YBR055C
YAL012W YMR300C
YAL012W YPL149W
YAL024C YBR160W
YAL024C YHR030C
YAL024C YHR158C
YAL024C YIR009W
YAL026C YDL192W
YAL029C YBR081C
YAL029C YBR130C
YAL029C YGL106W
YAL029C YGL195W
YAL029C YLR249W
YAL029C YMR309C
YAL029C YOL086C
YAL034W-A YGL172W
YAL034W-A YGR120C
YAL047C YEL061C
YAL047C YGL212W
YAL047C YGR218W
YAL047C YHR158C
YAL047C YHR172W
YAL047C YIL061C
YAL047C YLR045C
YAL047C YLR212C
YAL047C YLR429W
YAL047C YMR047C
YAL047C YNL126W
YAL047C YNL188W
YAL064W YHR114W
YAL064W YKR011C
YAL064W YMR149W
YAR002C-A YGL200C
YAR002C-A YGR132C
YAR002C-A YML012W
YAR002C-A YNL030W
YAR003W YBL026W
YAR003W YBL099W
YAR003W YBR258C
YAR003W YDR469W
YAR003W YER081W
YAR003W YFR053C
YAR003W YHR119W
YAR003W YIL148W
YAR003W YJR113C
YAR007C YBL099W
YAR007C YBR127C
YAR007C YDR034C
YAR007C YDR097C
YAR007C YER078C
YAR007C YFL037W
YAR007C YGL206C
YAR007C YHR164C
YAR007C YIR002C
YAR007C YJL130C
YAR007C YJL173C
YAR007C YKL152C
YAR007C YLR304C
YAR007C YML085C
YAR007C YML124C
YAR007C YMR116C
YAR007C YMR214W
YAR007C YNL312W
YAR007C YOL090W
YAR008W YLR105C
YAR008W YPL083C
YAR014C YBR186W
YAR014C YDL240W
YAR014C YDR259C
YAR014C YDR480W
YAR014C YER032W
YAR014C YER155C
YAR014C YER158C
YAR014C YFR040W
YAR014C YGR037C
YAR014C YGR285C
YAR014C YHL048W
YAR014C YHR064C
YAR014C YIL144W
YAR014C YJL187C
YAR014C YLR098C
YAR014C YML052W
YAR014C YMR026C
YAR014C YMR116C
YAR014C YNL044W
YAR014C YNL206C
YAR014C YNL333W
YAR014C YOL033W
YAR014C YOR284W
YAR073W YLR383W
YAR073W YOL115W
YBL002W YDR121W
YBL002W YGL241W
YBL002W YGR054W
YBL002W YIL035C
YBL002W YIL126W
YBL002W YKR001C
YBL002W YMR091C
YBL002W YNL068C
YBL002W YNL262W
YBL002W YOL108C
YBL002W YOR304W
YBL002W YPR175W
YBL003C YOL004W
YBL003C YPL153C
YBL008W YCL018W
YBL008W YJL115W
YBL008W YOR038C
YBL009W YER155C
YBL009W YGL127C
YBL009W YGR090W
YBL009W YHR121W
YBL009W YOR017W
YBL009W YOR233W
YBL010C YKR022C
YBL016W YBL085W
YBL016W YDR469W
YBL016W YDR480W
YBL016W YFR028C
YBL016W YGL057C
YBL016W YGL178W
YBL016W YHR005C
YBL016W YHR084W
YBL016W YHR168W
YBL016W YJL076W
YBL016W YLR342W
YBL016W YMR295C
YBL016W YNL053W
YBL021C YCL018W
YBL021C YDR502C
YBL021C YHL006C
YBL021C YJR045C
YBL021C YJR121W
YBL022C YGR040W
YBL022C YIL061C
YBL022C YLR180W
YBL022C YOR136W
YBL026W YBL066C
YBL026W YBL099W
YBL026W YCL018W
YBL026W YCL064C
YBL026W YDL055C
YBL026W YDR378C
YBL026W YDR440W
YBL026W YEL015W
YBL026W YER146W
YBL026W YFL037W
YBL026W YFR053C
YBL026W YGL173C
YBL026W YGL234W
YBL026W YGR158C
YBL026W YGR282C
YBL026W YHR165C
YBL026W YIL048W
YBL026W YIL132C
YBL026W YJL124C
YBL026W YJL157C
YBL026W YJR077C
YBL026W YJR121W
YBL026W YLR039C
YBL026W YLR264W
YBL026W YLR438C-A
YBL026W YML085C
YBL026W YMR066W
YBL026W YNL264C
YBL026W YNL287W
YBL026W YOL102C
YBL026W YOL149W
YBL026W YOR017W
YBL026W YOR191W
YBL026W YPL042C
YBL026W YPL115C
YBL026W YPL249C-A
YBL026W YPR132W
YBL027W YHR114W
YBL030C YDL059C
YBL030C YEL020W-A
YBL030C YFR028C
YBL030C YGL137W
YBL030C YGR040W
YBL030C YGR082W
YBL030C YGR262C
YBL030C YHR005C-A
YBL030C YHR133C
YBL030C YHR166C
YBL030C YJL173C
YBL030C YKR026C
YBL030C YLR233C
YBL030C YLR268W
YBL030C YMR106C
YBL031W YGR218W
YBL032W YGL049C
YBL032W YGR162W
YBL032W YLR150W
YBL032W YLR175W
YBL032W YNL005C
YBL032W YNL030W
YBL032W YOL139C
YBL034C YFL037W
YBL035C YBR087W
YBL035C YDL058W
YBL035C YIR008C
YBL035C YKL045W
YBL035C YNL102W
YBL035C YNL290W
YBL035C YNR052C
YBL035C YOR217W
YBL037W YJR005W
YBL037W YJR058C
YBL037W YOL062C
YBL038W YCL014W
YBL038W YDR237W
YBL038W YDR322W
YBL038W YDR462W
YBL038W YER155C
YBL038W YJL063C
YBL038W YKR085C
YBL038W YLR439W
YBL038W YML025C
YBL038W YMR024W
YBL038W YNL005C
YBL038W YNL284C
YBL038W YOR150W
YBL038W YPR100W
YBL040C YDR331W
YBL040C YDR414C
YBL040C YMR215W
YBL040C YOL020W
YBL045C YDR339C
YBL045C YGL137W
YBL045C YIL061C
YBL045C YLR090W
YBL045C YLR442C
YBL045C YMR047C
YBL045C YOR125C
YBL045C YPR191W
YBL046W YDL112W
YBL046W YNL201C
YBL052C YGL207W
YBL052C YNL258C
YBL052C YOR064C
YBL052C YPL129W
YBL061C YEL015W
YBL061C YNL233W
YBL063W YIL061C
YBL066C YEL015W
YBL066C YPL026C
YBL068W YHL011C
YBL072C YFL017C
YBL072C YMR047C
YBL076C YBR055C
YBL076C YNL244C
YBL076C YOR080W
YBL079W YHR135C
YBL079W YJL061W
YBL079W YKL068W
YBL081W YOR167C
YBL085W YBR003W
YBL085W YCL024W
YBL085W YDR036C
YBL085W YDR332W
YBL085W YDR372C
YBL085W YDR480W
YBL085W YER032W
YBL085W YER081W
YBL085W YER155C
YBL085W YER158C
YBL085W YFR028C
YBL085W YFR034C
YBL085W YHL007C
YBL085W YHL014C
YBL085W YIL144W
YBL085W YIR018W
YBL085W YLR229C
YBL085W YLR314C
YBL085W YML109W
YBL085W YMR273C
YBL085W YNL206C
YBL085W YNR016C
YBL085W YOL019W
YBL085W YOL135C
YBL085W YPL115C
YBL090W YBR251W
YBL090W YHL004W
YBL092W YDR026C
YBL097W YLR373C
YBL098W YDL226C
YBL099W YBR039W
YBL099W YBR088C
YBL099W YBR288C
YBL099W YDL004W
YBL099W YDL017W
YBL099W YDL164C
YBL099W YDR227W
YBL099W YDR298C
YBL099W YDR322C-A
YBL099W YDR523C
YBL099W YER173W
YBL099W YFR028C
YBL099W YGL131C
YBL099W YGL137W
YBL099W YGL163C
YBL099W YGR040W
YBL099W YGR123C
YBL099W YGR240C
YBL099W YGR262C
YBL099W YHR030C
YBL099W YHR135C
YBL099W YHR166C
YBL099W YJL087C
YBL099W YJL173C
YBL099W YJL180C
YBL099W YJR121W
YBL099W YKL016C
YBL099W YLR148W
YBL099W YLR186W
YBL099W YLR295C
YBL099W YLR320W
YBL099W YLR442C
YBL099W YML081C-A
YBL099W YMR106C
YBL099W YNL090W
YBL099W YNL290W
YBL099W YNL311C
YBL099W YNL315C
YBL099W YOL115W
YBL099W YPL078C
YBL099W YPL149W
YBL099W YPL153C
YBL099W YPL164C
YBL099W YPL271W
YBL099W YPR020W
YBR003W YLR310C
YBR004C YLR082C
YBR010W YCR084C
YBR010W YDR224C
YBR010W YDR225W
YBR010W YDR227W
YBR010W YDR440W
YBR010W YIL035C
YBR010W YJL115W
YBR010W YLR442C
YBR010W YNL030W
YBR010W YPL209C
YBR021W YHR042W
YBR028C YHR135C
YBR039W YDL047W
YBR039W YDL059C
YBR039W YDL145C
YBR039W YDR523C
YBR039W YFR028C
YBR039W YGR104C
YBR039W YJR121W
YBR039W YMR106C
YBR039W YPL256C
YBR042C YER081W
YBR044C YDL093W
YBR044C YHR042W
YBR044C YKL141W
YBR044C YKL148C
YBR044C YLL041C
YBR055C YBR121C
YBR055C YBR127C
YBR055C YBR133C
YBR055C YCL018W
YBR055C YCL043C
YBR055C YCR002C
YBR055C YCR053W
YBR055C YDL064W
YBR055C YDR158W
YBR055C YDR353W
YBR055C YER003C
YBR055C YER043C
YBR055C YER091C
YBR055C YER146W
YBR055C YFL017W-A
YBR055C YFR053C
YBR055C YGL202W
YBR055C YGL206C
YBR055C YGL245W
YBR055C YGL253W
YBR055C YGR061C
YBR055C YGR074W
YBR055C YGR094W
YBR055C YGR155W
YBR055C YGR204W
YBR055C YGR240C
YBR055C YGR254W
YBR055C YHR019C
YBR055C YHR064C
YBR055C YHR165C
YBR055C YHR183W
YBR055C YHR208W
YBR055C YJL080C
YBR055C YJR105W
YBR055C YJR139C
YBR055C YKL081W
YBR055C YKL085W
YBR055C YLR044C
YBR055C YLR153C
YBR055C YLR259C
YBR055C YLR304C
YBR055C YLR355C
YBR055C YLR432W
YBR055C YMR012W
YBR055C YMR120C
YBR055C YNR001C
YBR055C YOR133W
YBR055C YOR136W
YBR055C YOR159C
YBR055C YOR335C
YBR055C YPR082C
YBR060C YBR160W
YBR060C YHR118C
YBR060C YML065W
YBR060C YNL261W
YBR060C YPR162C
YBR070C YJL019W
YBR073W YGL213C
YBR073W YLR453C
YBR080C YGL137W
YBR080C YGR262C
YBR081C YBR253W
YBR081C YDR176W
YBR081C YDR448W
YBR081C YGL066W
YBR081C YGL112C
YBR081C YGL244W
YBR081C YGR252W
YBR081C YHR099W
YBR081C YMR223W
YBR081C YMR236W
YBR081C YPL254W
YBR085W YDL059C
YBR085W YGR262C
YBR085W YHR135C
YBR085W YJL173C
YBR086C YKL212W
YBR087W YBR088C
YBR087W YER173W
YBR087W YHR191C
YBR087W YLR390W
YBR087W YMR078C
YBR087W YNL088W
YBR087W YNL290W
YBR087W YOR144C
YBR087W YOR217W
YBR088C YCR092C
YBR088C YDL164C
YBR088C YDR097C
YBR088C YER041W
YBR088C YFR053C
YBR088C YGR155W
YBR088C YHR031C
YBR088C YJR043C
YBR088C YKL113C
YBR088C YLR035C
YBR088C YML021C
YBR088C YMR167W
YBR088C YNL071W
YBR088C YNL290W
YBR088C YOL055C
YBR088C YOR217W
YBR089W YGL070C
YBR091C YDL217C
YBR091C YHR005C-A
YBR091C YJL054W
YBR091C YOR297C
YBR098W YBR160W
YBR098W YDR386W
YBR098W YJR045C
YBR098W YJR121W
YBR103W YCL018W
YBR103W YDL112W
YBR103W YDR148C
YBR103W YDR227W
YBR103W YEL064C
YBR103W YGR239C
YBR103W YGR254W
YBR103W YHL004W
YBR103W YIL112W
YBR103W YJR121W
YBR103W YLR409C
YBR103W YML109W
YBR103W YMR155W
YBR103W YMR273C
YBR106W YBR110W
YBR106W YBR243C
YBR106W YBR283C
YBR106W YBR293W
YBR106W YCR098C
YBR106W YDL093W
YBR106W YDR046C
YBR106W YDR297W
YBR106W YDR331W
YBR106W YDR414C
YBR106W YEL002C
YBR106W YEL017C-A
YBR106W YFL025C
YBR106W YGL054C
YBR106W YGL055W
YBR106W YGL070C
YBR106W YGL167C
YBR106W YGL200C
YBR106W YHL048W
YBR106W YHR026W
YBR106W YHR123W
YBR106W YHR133C
YBR106W YHR142W
YBR106W YIL048W
YBR106W YJL012C
YBR106W YJL108C
YBR106W YJR124C
YBR106W YKL165C
YBR106W YLR034C
YBR106W YLR378C
YBR106W YML067C
YBR106W YML123C
YBR106W YMR058W
YBR106W YMR149W
YBR106W YMR215W
YBR106W YMR274C
YBR106W YNL048W
YBR106W YNL101W
YBR106W YNL130C
YBR106W YOL020W
YBR106W YOL030W
YBR106W YOL132W
YBR106W YPL189W
YBR106W YPL274W
YBR106W YPR124W
YBR110W YBR159W
YBR110W YCR034W
YBR110W YDR331W
YBR110W YEL002C
YBR110W YEL017C-A
YBR110W YGL200C
YBR110W YGR105W
YBR110W YHL048W
YBR110W YHR026W
YBR110W YHR133C
YBR110W YHR142W
YBR110W YLR372W
YBR110W YML123C
YBR110W YMR058W
YBR110W YMR215W
YBR110W YPL274W
YBR120C YKR026C
YBR121C YNL244C
YBR122C YGR220C
YBR122C YNL284C
YBR123C YDR362C
YBR123C YGL133W
YBR123C YGR047C
YBR123C YKL068W
YBR123C YOR110W
YBR123C YPL007C
YBR125C YDR507C
